CustomerId,CustomerName,CompanyName,CustomerCountry,CustomerPostalCode,CustomerPhone,IsCurrent,StartDate,EndDate
1,Luís Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,Brazil,12227-000,+55 (12) 3923-5555,1,,
2,Leonie Köhler,,Germany,70174,+49 0711 2842222,1,,
3,François Tremblay,,Canada,H2G 1A7,+1 (514) 721-4711,1,,
4,Bjørn Hansen,,Norway,0171,+47 22 44 22 22,1,,
5,František Wichterlová,JetBrains s.r.o.,Czech Republic,14700,+420 2 4172 5555,1,,
6,Helena Holý,,Czech Republic,14300,+420 2 4177 0449,1,,
7,Astrid Gruber,,Austria,1010,+43 01 5134505,1,,
8,Daan Peeters,,Belgium,1000,+32 02 219 03 03,1,,
9,Kara Nielsen,,Denmark,1720,+453 3331 9991,1,,
10,Eduardo Martins,Woodstock Discos,Brazil,01007-010,+55 (11) 3033-5446,1,,
11,Alexandre Rocha,Banco do Brasil S.A.,Brazil,01310-200,+55 (11) 3055-3278,1,,
12,Roberto Almeida,Riotur,Brazil,20040-020,+55 (21) 2271-7000,1,,
13,Fernanda Ramos,,Brazil,71020-677,+55 (61) 3363-5547,1,,
14,Mark Philips,Telus,Canada,T6G 2C7,+1 (780) 434-4554,1,,
15,Jennifer Peterson,Rogers Canada,Canada,V6C 1G8,+1 (604) 688-2255,1,,
16,Frank Harris,Google Inc.,USA,94043-1351,+1 (650) 253-0000,1,,
17,Jack Smith,Microsoft Corporation,USA,98052-8300,+1 (425) 882-8080,1,,
18,Michelle Brooks,,USA,10012-2612,+1 (212) 221-3546,1,,
19,Tim Goyer,Apple Inc.,USA,95014,+1 (408) 996-1010,1,,
20,Dan Miller,,USA,94040-111,+1 (650) 644-3358,1,,
21,Kathy Chase,,USA,89503,+1 (775) 223-7665,1,,
22,Heather Leacock,,USA,32801,+1 (407) 999-7788,1,,
23,John Gordon,,USA,2113,+1 (617) 522-1333,1,,
24,Frank Ralston,,USA,60611,+1 (312) 332-3232,1,,
25,Victor Stevens,,USA,53703,+1 (608) 257-0597,1,,
26,Richard Cunningham,,USA,76110,+1 (817) 924-7272,1,,
27,Patrick Gray,,USA,85719,+1 (520) 622-4200,1,,
28,Julia Barnett,,USA,84102,+1 (801) 531-7272,1,,
29,Robert Brown,,Canada,M6J 1V1,+1 (416) 363-8888,1,,
30,Edward Francis,,Canada,K2P 1L7,+1 (613) 234-3322,1,,
31,Martha Silk,,Canada,B3S 1C5,+1 (902) 450-0450,1,,
32,Aaron Mitchell,,Canada,R3L 2B9,+1 (204) 452-6452,1,,
33,Ellie Sullivan,,Canada,X1A 1N6,+1 (867) 920-2233,1,,
34,João Fernandes,,Portugal,,+351 (213) 466-111,1,,
35,Madalena Sampaio,,Portugal,,+351 (225) 022-448,1,,
36,Hannah Schneider,,Germany,10789,+49 030 26550280,1,,
37,Fynn Zimmermann,,Germany,60316,+49 069 40598889,1,,
38,Niklas Schröder,,Germany,10779,+49 030 2141444,1,,
39,Camille Bernard,,France,75009,+33 01 49 70 65 65,1,,
40,Dominique Lefebvre,,France,75002,+33 01 47 42 71 71,1,,
41,Marc Dubois,,France,69002,+33 04 78 30 30 30,1,,
42,Wyatt Girard,,France,33000,+33 05 56 96 96 96,1,,
43,Isabelle Mercier,,France,21000,+33 03 80 73 66 99,1,,
44,Terhi Hämäläinen,,Finland,00530,+358 09 870 2000,1,,
45,Ladislav Kovács,,Hungary,H-1073,,1,,
46,Hugh O'Reilly,,Ireland,,+353 01 6792424,1,,
47,Lucas Mancini,,Italy,00192,+39 06 39733434,1,,
48,Johannes Van der Berg,,Netherlands,1016,+31 020 6223130,1,,
49,Stanislaw Wójcik,,Poland,00-358,+48 22 828 37 39,1,,
50,Enrique Muñoz,,Spain,28015,+34 914 454 454,1,,
51,Joakim Johansson,,Sweden,11230,+46 08-651 52 52,1,,
52,Emma Jones,,United Kingdom,N1 5LH,+44 020 7707 0707,1,,
53,Phil Hughes,,United Kingdom,SW1V 3EN,+44 020 7976 5722,1,,
54,Steve Murray,,United Kingdom,EH4 1HH,+44 0131 315 3300,1,,
55,Mark Taylor,,Australia,2010,+61 (02) 9332 3633,1,,
56,Diego Gutiérrez,,Argentina,1106,+54 (0)11 4311 4333,1,,
57,Luis Rojas,,Chile,,+56 (0)2 635 4444,1,,
58,Manoj Pareek,,India,110017,+91 0124 39883988,1,,
59,Puja Srivastava,,India,560001,+91 080 22289999,1,,
